,company,rating,reviews,highlyRatedFor,jobs,salary
970,Kirloskar Brothers,3.7,(1.1k),Work Life Balance,33,4.5k
971,Tube Investments of India,3.8,(1.1k),"Promotions, Company Culture, Work Satisfaction",19,3.6k
972,Vedanta Aluminium Metal,3.8,(1.1k),"Salary, Job Security",--,4.6k
973,Syngenta,4.2,(1.1k),"Work Life Balance, Company Culture, Skill Development",10,3.8k
974,Sri Chaitanya Educational Institutions,3.6,(1.1k),"Promotions, Company Culture, Work Satisfaction",2,3k
975,Unity Small Finance Bank,3.6,(1.1k),"Promotions, Work Satisfaction, Job Security",20,4.3k
976,Aarvi Encon,3.9,(1.1k),"Work Life Balance, Salary",325,3k
977,Tata Capital Housing Finance,4.0,(1.1k),"Skill Development, Salary",--,3.3k
978,HPCL-Mittal Energy Limited,4.3,(1.1k),"Work Life Balance, Job Security, Company Culture",--,4.7k
979,Hinduja Housing Finance,3.7,(1.1k),"Promotions, Company Culture",37,2.9k
980,Saipem,4.2,(1.1k),"Job Security, Work Life Balance, Company Culture",18,3.4k
981,CALIBEHR,3.9,(1.1k),"Company Culture, Skill Development",15,2.7k
982,VMware Software,4.4,(1.1k),"Salary, Company Culture, Work Life Balance",30,8.8k
983,Gmmco,4.0,(1.1k),"Skill Development, Job Security, Work Life Balance",7,2.9k
984,Adani Ports and SEZ,3.6,(1.1k),"Promotions, Work Satisfaction, Job Security",--,4k
985,TKIL,4.1,(1.1k),"Work Life Balance, Company Culture, Job Security",14,4.6k
986,Pernod Ricard,3.5,(1.1k),Salary,6,4.7k
987,Hitachi Energy,4.0,(1.1k),"Job Security, Work Life Balance, Company Culture",461,7.8k
988,SLMG Beverages,3.9,(1.1k),Work Life Balance,2,3.5k
989,GAIL,4.4,(1.1k),"Work Life Balance, Company Culture, Work Satisfaction",--,3.3k
990,Malabar Gold and Diamonds,4.1,(1.1k),"Company Culture, Job Security, Skill Development",53,2.8k
991,Northcorp Software,4.8,(1.1k),"Skill Development, Company Culture, Work Life Balance",6,224
992,Thermo Fisher Scientific,3.8,(1.1k),"Work Life Balance, Job Security",288,6.8k
993,Metropolis Healthcare,3.9,(1.1k),Skill Development,19,3.7k
994,Vayona Energy,4.0,(1.1k),"Work Life Balance, Salary",--,4.9k
995,Power Grid Corporation of India,4.3,(1.1k),"Company Culture, Salary, Work Life Balance",--,2.1k
996,Dana Anand,4.0,(1.1k),"Job Security, Company Culture, Skill Development",--,3k
997,Crompton Greaves Consumer Electricals,3.7,(1.1k),Salary,47,4k
998,Xyz Company,3.8,(1.1k),"Company Culture, Work Life Balance, Job Security",--,48.5k
999,Shyam Steel Group,3.5,(1.1k),"Promotions, Work Satisfaction, Skill Development",7,3.8k
1000,Aspire Systems,3.8,(1.1k),"Job Security, Company Culture, Work Life Balance",84,9.9k
1001,BDR Pharmaceuticals International,4.2,(1.1k),"Job Security, Company Culture, Skill Development",8,2.1k
1002,Fractal Analytics,4.0,(1.1k),"Company Culture, Job Security, Work Life Balance",311,11.5k
1003,Bajaj Capital Insurance Broking Limited,4.3,(1.1k),"Skill Development, Company Culture, Work Life Balance",2,1.3k
1004,Greenko Group,3.9,(1.1k),"Job Security, Work Life Balance",--,3.8k
1005,Hindustan Zinc,3.7,(1.1k),Salary,11,4.4k
1006,Writer Information Management Services,3.2,(1.1k),"Promotions, Salary, Company Culture",--,3.6k
1007,QX Global Group,3.0,(1.1k),"Promotions, Work Satisfaction, Job Security",128,4.6k
1008,Jet Airways,4.6,(1.1k),"Work Satisfaction, Company Culture, Work Life Balance",--,1.8k
1009,Nexa,3.9,(1.1k),"Skill Development, Work Life Balance",--,2.3k
1010,Gharda Chemicals Limited,4.0,(1.1k),"Job Security, Work Life Balance, Skill Development",68,4.8k
1011,Zf Rane Automotive,3.9,(1.1k),"Job Security, Skill Development",--,3.9k
1012,Vertiv,3.7,(1.1k),Job Security,210,4.7k
1013,Wheels,3.9,(1.1k),"Job Security, Skill Development",4,5.2k
1014,Netcracker Technology,3.0,(1.1k),"Promotions, Job Security, Company Culture",--,9.3k
1015,Klm Axiva Finvest,4.4,(1.1k),"Company Culture, Work Life Balance, Work Satisfaction",10,797
1016,ValueMomentum,3.2,(1.1k),"Promotions, Company Culture, Work Satisfaction",33,9k
1017,BirlaNu,3.8,(1.1k),Promotions,32,2.9k
1018,Otis Elevator,4.1,(1.1k),"Work Life Balance, Job Security, Company Culture",125,4.2k
1019,GVPR Engineers,3.8,(1.1k),"Salary, Work Life Balance",12,3.1k
1020,Otis Elevator,4.1,(1.1k),"Work Life Balance, Job Security, Company Culture",125,4.2k
1021,Thomas Cook,4.1,(1.1k),"Company Culture, Job Security, Skill Development",--,3.7k
1022,Bharat Sanchar Nigam,3.8,(1.1k),"Work Life Balance, Job Security",--,2.6k
1023,GlobalData,3.3,(1.1k),"Promotions, Salary, Skill Development",26,5.5k
1024,Atlas Copco,4.1,(1.1k),"Job Security, Company Culture, Work Life Balance",--,5.5k
1025,Spencer's Retail,3.7,(1.1k),Promotions,4,2.8k
1026,ALLEN Career Institute,3.7,(1.1k),"Promotions, Skill Development, Salary",44,4.5k
1027,Lakshmi Machine Works,3.8,(1.1k),Job Security,69,4.3k
1028,Nippon Life India Asset Management,4.6,(1k),"Work Life Balance, Company Culture, Job Security",78,1.6k
1029,Uber,4.1,(1k),"Company Culture, Work Life Balance, Salary",30,8.7k
1030,NBC Bearings,3.9,(1k),"Job Security, Work Life Balance, Company Culture",3,3.7k
1031,Allianz Technology,4.0,(1k),"Work Life Balance, Company Culture, Job Security",7,6.9k
1032,Hitachi Payment Services,3.6,(1k),"Promotions, Salary, Job Security",35,3.5k
1033,Kinara Capital,4.2,(1k),"Company Culture, Work Life Balance, Salary",30,2.2k
1034,Amara Raja Group,4.1,(1k),"Job Security, Skill Development, Company Culture",--,3.5k
1035,Skipper,3.9,(1k),Salary,8,3.2k
1036,Tata Cummins,4.4,(1k),"Company Culture, Work Life Balance, Work Satisfaction",--,1.5k
1037,Vistaar Finance,3.9,(1k),"Work Life Balance, Salary",28,2.2k
1038,Syrma SGS Technologies,4.0,(1k),"Job Security, Work Life Balance, Skill Development",5,3.5k
1039,Ceasefire Industries,3.1,(1k),"Promotions, Work Satisfaction, Job Security",7,2.4k
1040,United Breweries,3.3,(1k),"Promotions, Job Security, Company Culture",37,3.5k
1041,Suzuki Motorcycle,4.0,(1k),"Job Security, Work Life Balance, Company Culture",7,4k
1042,SitusAMC,3.3,(1k),"Promotions, Company Culture, Work Satisfaction",--,5.4k
1043,MakeMyTrip,3.5,(1k),"Promotions, Work Satisfaction, Salary",84,7.6k
1044,Siemens Energy,4.0,(1k),"Work Life Balance, Job Security, Company Culture",4,6.2k
1045,iQor Global Services,3.4,(1k),"Promotions, Job Security, Skill Development",47,2.6k
1046,Comviva Technology,2.7,(1k),"Promotions, Salary, Company Culture",121,6.3k
1047,Perfetti Van Melle,4.2,(1k),"Work Life Balance, Company Culture, Work Satisfaction",10,2.9k
1048,Fortrea Development India Private Limited,3.9,(1k),"Work Life Balance, Company Culture",67,5k
1049,Secure Meters,3.9,(1k),"Job Security, Company Culture, Work Life Balance",42,4.6k
1050,Skoda Auto Volkswagen India,3.9,(1k),"Work Life Balance, Company Culture",14,4.8k
1051,Visionet Systems,3.3,(1k),"Promotions, Salary, Work Satisfaction",25,5.9k
1052,Vaco Binary Semantics,3.0,(1k),"Promotions, Skill Development, Salary",48,5.4k
1053,Zudio,3.9,(1k),"Job Security, Skill Development, Salary",--,2.2k
1054,Arohan Financial Services,3.9,(1k),Salary,11,2.1k
1055,Westside,3.7,(1k),"Job Security, Skill Development",--,2.1k
1056,Bounteous x Accolite,3.2,(1k),"Promotions, Company Culture, Work Satisfaction",188,8.5k
1057,Motherson Sumi Wiring,3.7,(1k),Job Security,9,4.1k
1058,Sahara India Pariwar,3.9,(1k),Work Life Balance,--,2.5k
1059,Lemon Tree Hotels,4.0,(1k),"Company Culture, Job Security, Work Life Balance",2,2.8k
1060,Colgate Palmolive,4.0,(1k),"Company Culture, Work Life Balance, Job Security",30,4.5k
1061,TradeIndia (Infocom Network Private Limited),3.4,(1k),"Promotions, Work Satisfaction, Job Security",37,4.5k
1062,Star Cement,4.0,(1k),"Job Security, Work Life Balance, Company Culture",2,3.2k
1063,Merino Industries,3.7,(1k),"Promotions, Company Culture, Work Satisfaction",20,3.6k
1064,AstraZeneca,3.8,(1k),"Work Life Balance, Salary, Company Culture",1,7.4k
1065,MasterCard,3.8,(1k),"Company Culture, Work Life Balance, Salary",447,13.2k
1066,Cult.fit,3.5,(1k),"Promotions, Job Security, Work Satisfaction",169,4.2k
1067,Aparajitha Corporate Services,3.8,(1k),"Work Life Balance, Job Security, Skill Development",9,3k
1068,Temenos,3.2,(1k),"Promotions, Job Security, Work Satisfaction",18,8.7k
1069,Incheon Motors,4.7,(1k),"Company Culture, Job Security, Skill Development",7,351
1070,Pristyn Care,3.1,(1k),"Work Life Balance, Job Security, Work Satisfaction",13,4.3k
1071,Mastek,3.6,(1k),"Promotions, Salary, Work Satisfaction",39,6.7k
1072,VeeTechnologies,4.0,(1k),"Job Security, Company Culture, Work Life Balance",13,4.4k
1073,Tiger Analytics,3.7,(1k),"Company Culture, Skill Development, Salary",58,10.8k
1074,eClinicalWorks,3.5,(1k),Job Security,7,5k
1075,Collins Aerospace,3.8,(1k),"Work Life Balance, Job Security",14,7.9k
1076,Amazon Web Services,3.7,(1k),Salary,--,6.9k
1077,Xebia,3.0,(1k),"Promotions, Job Security, Work Satisfaction",26,6.6k
1078,CarDekho Group,3.6,(1k),"Promotions, Job Security, Work Satisfaction",47,5.1k
1079,Wonder Cement,4.2,(1k),"Salary, Company Culture, Work Life Balance",100,3.6k
1080,C&S Electric,3.9,(1k),"Job Security, Work Life Balance",16,3.8k
1081,JSW Group,3.8,(1k),Job Security,--,4.5k
1082,SYSKA LED Lights,2.9,(1k),"Promotions, Job Security, Salary",--,2.4k
1083,Mahindra Automotives,3.8,(1k),"Job Security, Skill Development",--,5.1k
1084,National Payments Corporation of India,4.0,(1k),"Job Security, Skill Development, Work Life Balance",32,4.4k
1085,Technip Energies,4.0,(1k),"Job Security, Company Culture, Work Life Balance",14,5.4k
1086,Lumina Datamatics,3.2,(1k),"Promotions, Salary, Skill Development",74,4.7k
1087,Quantiphi Analytics Solutions Private Limited,3.1,(1k),"Job Security, Work Life Balance, Promotions",107,7.8k
1088,Rebel Foods,3.7,(1k),"Promotions, Work Satisfaction, Work Life Balance",28,3.5k
1089,Entain,3.5,(1k),Work Life Balance,--,7.4k
1090,JW Marriott,4.2,(1k),"Job Security, Skill Development, Company Culture",--,2k
1091,Marsh McLennan,3.8,(999),"Work Life Balance, Job Security, Company Culture",74,8.8k
1092,KEI Industries,4.2,(999),"Salary, Job Security, Work Life Balance",3,3.3k
1093,Softenger,4.0,(999),"Company Culture, Work Life Balance, Work Satisfaction",6,2.7k
1094,Capacit'e Infraprojects,3.7,(999),"Promotions, Company Culture, Work Satisfaction",12,3.3k
1095,Jyothy Labs,4.0,(999),"Salary, Job Security, Company Culture",26,2.3k
1096,Everest Industries,3.8,(998),Work Life Balance,24,3.3k
1097,Lowe's,4.0,(998),"Company Culture, Work Life Balance, Job Security",79,10.4k
1098,J B Chemicals And Pharmaceuticals,3.9,(998),Promotions,11,3.4k
1099,Yokohama Off-Highway Tires,3.7,(997),"Promotions, Company Culture, Work Life Balance",3,4.3k
1100,General Mills,4.1,(994),"Work Life Balance, Company Culture, Job Security",10,5.3k
1101,Psp Projects,3.8,(995),"Skill Development, Salary",8,3.1k
1102,TechnipFMC,3.9,(994),"Work Life Balance, Company Culture, Job Security",51,5k
1103,Natco Pharma,4.0,(992),"Work Life Balance, Job Security, Salary",--,3.5k
1104,Napino Auto & Electronics,3.9,(991),Work Life Balance,2,4k
1105,Salcomp Manufacturing,4.0,(991),"Job Security, Work Life Balance, Skill Development",5,4.5k
1106,Barclays Global Service Centre,3.9,(991),"Company Culture, Work Life Balance",--,8k
1107,Pizza Hut,4.0,(991),"Skill Development, Company Culture, Job Security",--,1.9k
1108,Kendriya Vidyalaya Sangathan,4.3,(988),"Work Life Balance, Skill Development, Company Culture",--,1.6k
1109,Financial Software & Systems,3.6,(987),"Promotions, Salary, Work Satisfaction",12,5.1k
1110,Hiranandani Financial Services,4.4,(987),"Company Culture, Work Life Balance, Skill Development",15,1k
1111,VIP Industries,3.7,(986),"Promotions, Job Security, Company Culture",18,3.1k
1112,Guidehouse,3.6,(986),Salary,120,5.9k
1113,Defence Research & Development Organisation,4.4,(985),"Work Life Balance, Company Culture, Work Satisfaction",--,4k
1114,LOREAL,3.8,(983),Salary,63,3.9k
1115,Astral Adhesives,3.8,(985),Salary,--,2.6k
1116,Pricol,3.9,(982),"Skill Development, Company Culture, Work Life Balance",8,4.3k
1117,Shriram General Insurance,3.6,(980),"Promotions, Salary, Company Culture",29,2.7k
1118,Altisource,3.5,(978),"Promotions, Job Security, Skill Development",13,3.6k
1119,JSW Paints,3.8,(975),"Promotions, Work Satisfaction",1,3.3k
1120,Xceedance,3.5,(973),"Promotions, Work Satisfaction, Salary",--,6.8k
1121,Pramerica Life Insurance,3.7,(969),Work Life Balance,20,2.5k
1122,Adani Enterprises,3.7,(968),"Promotions, Work Satisfaction, Company Culture",10,5k
1123,Cohance Lifesciences,3.9,(967),Work Life Balance,5,3.2k
1124,LanceSoft,3.2,(968),"Promotions, Job Security, Company Culture",39,5.7k
1125,Gannon Dunkerley & Co.,3.4,(966),"Salary, Promotions, Company Culture",3,1.9k
1126,SFO Technologies,3.4,(965),"Promotions, Salary, Company Culture",57,4.9k
1127,Signify,3.4,(965),"Promotions, Work Satisfaction, Company Culture",42,4.6k
1128,Navayuga Engineering Company,3.9,(964),"Work Life Balance, Job Security",10,2.5k
1129,Jaro Education,3.2,(963),Salary,30,2.3k
1130,Timken,3.9,(964),"Work Life Balance, Job Security",--,4.3k
1131,Amphenol Interconnect,4.2,(963),"Work Life Balance, Company Culture, Work Satisfaction",13,3.8k
1132,Velocis Systems,3.8,(963),"Work Life Balance, Job Security",10,5.2k
1133,KMV Projects Limited,4.3,(961),"Salary, Company Culture, Work Life Balance",2,2.3k
1134,Nasser S. Al Hajri Corporation,3.6,(962),Job Security,--,1.8k
1135,Knight Frank,4.0,(960),"Company Culture, Work Life Balance, Job Security",9,3.4k
1136,ICCS,3.0,(959),"Promotions, Job Security, Salary",9,2.9k
1137,Aristo Pharmaceuticals,3.9,(958),"Work Life Balance, Job Security",5,2.6k
1138,Mando Automotive,4.0,(956),"Job Security, Skill Development, Company Culture",--,4.2k
1139,Regulated Council of Immigration Consultants,4.9,(955),"Company Culture, Work Life Balance, Work Satisfaction",--,--
1140,Bhanzu,3.7,(954),"Work Life Balance, Job Security, Promotions",1,1.3k
1141,Episource,3.9,(952),"Company Culture, Job Security, Skill Development",--,2.7k
1142,Reliance Power,4.1,(952),"Work Life Balance, Job Security, Work Satisfaction",5,3.3k
1143,FLSmidth,3.6,(952),Work Life Balance,23,4.2k
1144,Petrofac,4.3,(951),"Work Life Balance, Salary, Company Culture",--,2.4k
1145,FastInfo,4.2,(951),"Company Culture, Work Life Balance, Skill Development",--,916
1146,Sandhar Technologies,3.7,(950),"Promotions, Company Culture, Work Satisfaction",32,3.5k
1147,Tikona Infinet,3.4,(951),"Promotions, Salary, Job Security",6,2.6k
1148,"Commonwealth Bank of Australia, India",2.7,(950),"Promotions, Job Security, Work Satisfaction",1,8.2k
1149,Godfrey Phillips India,4.0,(951),"Work Life Balance, Job Security, Skill Development",4,3.3k
1150,Volvo,4.0,(949),"Company Culture, Work Life Balance, Job Security",8,5.7k
1151,Jubilant Pharmova,3.7,(949),Promotions,65,3.3k
1152,Hathway,3.4,(949),"Promotions, Work Satisfaction, Job Security",4,3.5k
1153,CIEL HR,3.9,(948),"Work Life Balance, Company Culture",2,3.3k
1154,Target,4.0,(946),"Work Life Balance, Company Culture, Job Security",100,7.3k
1155,Tafe Motors & Tractors,3.9,(944),"Company Culture, Work Life Balance, Job Security",--,3.1k
1156,Bayer,4.0,(945),"Work Life Balance, Company Culture, Work Satisfaction",--,4.5k
1157,Medhaj Techno Concept,4.0,(943),"Work Life Balance, Company Culture, Work Satisfaction",2,2k
1158,Medha Servo Drives,4.2,(943),"Job Security, Skill Development, Company Culture",17,3.2k
1159,Steag Energy Services,4.3,(941),"Job Security, Work Life Balance, Company Culture",1,2.8k
1160,Apotex Research,3.7,(940),"Promotions, Job Security, Skill Development",31,2.9k
1161,Naukri,4.1,(938),"Job Security, Company Culture, Work Life Balance",1,3.3k
1162,Intellipaat Software Solutions,3.8,(938),"Skill Development, Salary",--,2k
1163,OCS Group,4.1,(936),"Work Life Balance, Company Culture, Work Satisfaction",8,2.6k
1164,SKH Metals,4.0,(936),"Company Culture, Work Life Balance, Job Security",10,2.9k
1165,MAS Financial Services Ltd,3.6,(935),"Promotions, Work Satisfaction, Job Security",59,2.3k
1166,Greenlam Industries,4.1,(935),"Work Life Balance, Job Security, Salary",12,3.3k
1167,Schlumberger,3.7,(933),Work Life Balance,5,5.6k
1168,M3M India,4.1,(934),"Salary, Work Life Balance, Company Culture",--,3.4k
1169,Deepak Fertilisers and Petrochemicals,4.0,(934),"Job Security, Work Life Balance, Skill Development",19,3.5k
1170,Sundaram Clayton,3.9,(930),"Skill Development, Salary",10,2.8k
1171,Re Sustainability Limited,3.8,(930),"Job Security, Work Life Balance",38,3.1k
1172,Aviva Life Insurance India,3.4,(931),"Job Security, Promotions, Work Satisfaction",8,2.6k
1173,GE Healthcare,3.9,(930),"Company Culture, Work Life Balance, Job Security",1,6.2k
1174,HomeLane,3.3,(929),"Job Security, Promotions, Work Life Balance",69,4.3k
1175,Test Yantra Software Solutions,3.0,(929),"Promotions, Company Culture, Job Security",9,26k
1176,Wakefit,3.9,(931),"Salary, Work Life Balance, Skill Development",18,3.1k
1177,Netscribes,2.7,(928),"Promotions, Salary, Job Security",39,3k
1178,Nirma,4.2,(928),"Job Security, Work Life Balance, Work Satisfaction",28,3.1k
1179,HT Media,3.0,(925),"Promotions, Work Satisfaction, Skill Development",--,4.8k
1180,Simplilearn,3.8,(925),Promotions,93,4.7k
1181,Amazon Sellers Services,4.0,(924),"Salary, Company Culture, Work Life Balance",--,2.5k
1182,Orient Electric,3.7,(925),"Promotions, Job Security",33,3.4k
1183,Experis IT,3.0,(924),"Promotions, Job Security, Company Culture",5,3.8k
1184,Aircel,4.4,(923),"Company Culture, Work Life Balance, Work Satisfaction",--,1.2k
1185,Ashirvad Pipes,3.8,(923),Salary,27,2.9k
1186,Nityo Infotech,3.2,(922),"Job Security, Promotions, Skill Development",40,5.1k
1187,Alok Industries,3.6,(921),"Promotions, Salary, Company Culture",13,3.4k
1188,Neel Metal Products,4.0,(921),"Job Security, Skill Development, Work Life Balance",--,2.7k
1189,Michelin,3.7,(918),"Work Life Balance, Job Security",15,5.1k
1190,Yashoda Hospitals,3.9,(918),"Company Culture, Skill Development",18,3.5k
1191,Vijay Sales,4.0,(918),"Job Security, Salary, Company Culture",4,2.9k
1192,Sona Comstar,4.0,(914),"Company Culture, Work Life Balance, Job Security",1,4.1k
1193,Bosch Chassis Systems,4.1,(911),"Company Culture, Work Life Balance, Work Satisfaction",--,2.7k
1194,Egis India Consulting Engineers,4.2,(910),"Work Life Balance, Company Culture, Work Satisfaction",--,2.3k
1195,ACL Digital,3.6,(912),"Promotions, Skill Development, Job Security",143,6.7k
1196,Ageas Federal Life Insurance,3.5,(908),"Promotions, Job Security, Skill Development",82,2.4k
1197,Updater Services,3.7,(908),"Promotions, Company Culture, Work Satisfaction",27,2.9k
1198,Musashi Auto Parts,3.8,(907),Promotions,5,2.9k
1199,Wipro PARI,3.2,(906),"Promotions, Company Culture, Work Life Balance",31,3.8k
1200,Integra Software Services,3.9,(906),"Job Security, Company Culture",32,3.2k
1201,Nibav Lifts,4.0,(904),"Salary, Work Life Balance, Work Satisfaction",159,1.8k
1202,Carborundum Universal Limited,3.7,(903),"Promotions, Work Satisfaction",22,3.7k
1203,Truhome Finance,3.7,(902),Salary,27,2.7k
1204,Ups Logistics,3.6,(901),"Promotions, Skill Development, Company Culture",178,4.6k
1205,Alorica,3.1,(902),"Promotions, Work Satisfaction, Skill Development",91,3.4k
1206,Volkswagen,4.1,(900),"Work Life Balance, Company Culture, Job Security",--,3.1k
1207,TNQ Tech Private Limited,3.5,(900),"Promotions, Salary, Work Satisfaction",29,4.1k
1208,WSP,4.2,(901),"Work Life Balance, Company Culture, Job Security",33,4.3k
1209,RAMTeCH Software Solutions,3.7,(899),Job Security,11,3.5k
1210,Centum Electronics,3.5,(899),Job Security,8,3.7k
1211,H&M,3.8,(899),"Work Life Balance, Company Culture, Job Security",37,3.4k
1212,Satya MicroCapital,3.7,(900),Salary,5,2.2k
1213,Acme Cleantech Solutions,4.0,(897),"Salary, Work Life Balance, Work Satisfaction",5,2.7k
1214,Apar Industries,4.1,(895),"Work Life Balance, Job Security, Salary",13,3.6k
1215,Silaris Informations,2.9,(894),"Promotions, Salary, Company Culture",8,3k
1216,AJIO,3.6,(893),"Promotions, Company Culture, Salary",--,2.7k
1217,Nlb Services,3.6,(893),"Job Security, Promotions, Work Satisfaction",4,3.3k
